version 1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,cid,seller_cids,stuff_status,location_state,location_city,item_type,price,auction_increment,num,valid_thru,freight_payer,post_fee,ems_fee,express_fee,has_invoice,has_warranty,approve_status,has_showcase,list_time,description,cateProps,postage_id,has_discount,modified,upload_fail_msg,picture_status,auction_point,picture,video,skuProps,inputPids,inputValues,outer_id,propAlias,auto_fill,num_id,local_cid,navigation_type,user_name,syncStatus,is_lighting_consigment,is_xinpin,foodparame,features,buyareatype,global_stock_type,global_stock_country,sub_stock_type,item_size,item_weight,sell_promise,custom_design_flag,wireless_desc,barcode,sku_barcode,newprepay,subtitle,cpv_memo,input_custom_cpv,qualification,add_qualification,o2o_bind_service
宝贝名称,宝贝类目,店铺类目,新旧程度,省,城市,出售方式,宝贝价格,加价幅度,宝贝数量,有效期,运费承担,平邮,EMS,快递,发票,保修,放入仓库,橱窗推荐,开始时间,宝贝描述,宝贝属性,邮费模版ID,会员打折,修改时间,上传状态,图片状态,返点比例,新图片,视频,销售属性组合,用户输入ID串,用户输入名-值对,商家编码,销售属性别名,代充类型,数字ID,本地ID,宝贝分类,用户名称,宝贝状态,闪电发货,新品,食品专项,尺码库,采购地,库存类型,国家地区,库存计数,物流体积,物流重量,退换货承诺,定制工具,无线详情,商品条形码,sku 条形码,7天退货,宝贝卖点,属性值备注,自定义属性值,商品资质,增加商品资质,关联线下服务
邮费补拍,50023725,,1,浙江,杭州,1,1,0,8771,7,2,0,3.77E-23,7.43E-26,0,0,1,0,2017/3/29 15:45,"<p style=""margin:0;width:0;height:0;overflow:hidden;""><img src=""https://img.alicdn.com/imgextra/i4/T2s4moXH8XXXXXXXXX-350475995.png?p=superboss_discount_1610292241479293254_start_top_1""></p><table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"" bgcolor=""#ffffff"" align=""center"" style=""width:100.0%;margin:0 auto;line-height:1.5;text-align:left;color:#858583;font-size:12.0px;word-wrap:normal;border:1.0px solid #FF4242;""><tr><td><table cellpadding=""0"" cellspacing=""0"" border=""0"" width=""100%"" bgcolor=""#fbf4f5"" height=""60""><tr><td width=""200""><table cellpadding=""0"" cellspacing=""0"" border=""0"" height=""60""><tr><td style=""font-size:0;background-position:right;background-repeat:no-repeat;"" bgcolor=""#ff4242"" background=""https://img.alicdn.com/imgextra/i4/350475995/TB2nwoKaVXXXXb8XpXXXXXXXXXX-350475995.jpg"" valign=""top""><div style=""width:190.0px;height:54.0px;line-height:54.0px;overflow:hidden;padding:0 40.0px 0 20.0px;font-family:微软雅黑;font-size:36.0px;font-weight:bold;color:#fff000;"">包邮</div></td></tr></table></td><td width=""235""><table cellpadding=""0"" cellspacing=""0"" border=""0"" align=""center"" height=""50"" style=""border-right:1.0px dotted #858583;line-height:1.8;"" width=""100%""><tr><td><table cellpadding=""0"" cellspacing=""0"" border=""0"" width=""250"" style=""margin:0 auto;color:#858583;""><tr><td style=""font-weight:bold;color:#454543;"">卖家促销</td></tr><tr><td>2016-10-29 22:27 - 2018-08-31 22:27 截止</td></tr></table></td></tr></table></td><td style=""color:#858583;padding-left:25.0px;"">数量有限，赶快抢购吧！</td></tr></table></td></tr><tr><td style=""padding:5.0px 20.0px;""><table cellspacing=""0"" cellpadding=""0"" border=""0"" width=""100%""><tr></tr><tr><td style=""font-size:14.0px;color:#434343;"">单笔订单满 <span style=""font-size:18.0px;font-weight:bold;font-family:arial;color:#fd6160;"">300&nbsp;</span>元且满 <span style=""font-size:18.0px;font-weight:bold;font-family:arial;color:#fd6160;"">5</span>件&nbsp;上不封顶　<span style=""font-weight:bold;color:#e11d41;font-size:14.0px;"">包邮</span>(&nbsp;不包邮地区：台湾、香港、澳门、海外)</td></tr><tr><td style=""font-size:14.0px;color:#434343;"">单笔订单满 <span style=""font-size:18.0px;font-weight:bold;font-family:arial;color:#fd6160;"">1000&nbsp;</span>元且满 <span style=""font-size:18.0px;font-weight:bold;font-family:arial;color:#fd6160;"">2</span>件&nbsp;上不封顶　<span style=""cursor:pointer;color:red;"">送：</span><a href=""https://item.taobao.com/item.htm?id=526912395368"" target=""_blank"">   松下隔音耳塞防噪音睡眠防呼噜睡觉男女专业静音学习用消音抗噪  </a><span style=""font-weight:bold;color:#e11d41;font-size:14.0px;"">包邮</span>(&nbsp;不包邮地区：台湾、香港、澳门、海外)</td></tr><tr><td style=""font-size:14.0px;color:#434343;"">单笔订单满 <span style=""font-size:18.0px;font-weight:bold;font-family:arial;color:#fd6160;"">2000&nbsp;</span>元且满 <span style=""font-size:18.0px;font-weight:bold;font-family:arial;color:#fd6160;"">3</span>件&nbsp;<span style=""cursor:pointer;color:red;"">送：</span><a href=""https://item.taobao.com/item.htm?id=528855073303"" target=""_blank"">   日本肯高Kenko双镜头高清望远鏡 超薄可折叠歌剧球赛必备3倍变焦  </a><span style=""font-weight:bold;color:#e11d41;font-size:14.0px;"">包邮</span>(&nbsp;不包邮地区：台湾、香港、澳门、海外)</td></tr></table></td></tr></table><p style=""margin:0 0 5.0px 0;width:0;height:0;overflow:hidden;""><img src=""https://img.alicdn.com/imgextra/i4/T2s4moXH8XXXXXXXXX-350475995.png?p=superboss_discount_1610292241479293254_end_top_1""></p><p>邮费补拍链接</p>",,1155812480,1,2017/4/4 15:39,200,1;,0,a98c9a29213d32518a3d7f5fd40c741a:1:0:|https://img.alicdn.com/bao/uploaded/i3/32546558/TB2a8pdjXXXXXanXpXXXXXXXXXX_!!32546558.png;,,,,,,,0,5.27064E+11,0,2,scjmanbuman,1,224,245,,"tags:25282,12034",0,-1,,2,,,1,,<wapDesc><img>https://img.alicdn.com/imgextra/i2/32546558/TB2dlYFmm0mpuFjSZPiXXbssVXa_!!32546558.jpg</img></wapDesc>,,,0,,,,%7B%7D,1,
